LEA ID,LEA Name,Identified Student Percentage (ISP),Eligible to Participate,Near Eligible to Participate,Currently Participating in CEP,Participating and Eligible for a Grace Year,"Total Number of Schools in Participating, Eligible, and Near-Eligible LEAs",Total Student Enrollment in Participating and Eligible LEAs,Total Number of CEP Schools in the LEA,Total Student Enrollment at CEP Schools,Currently Participating in CEP District-wide,Currently Participating in CEP in One or Some Schools (Not District-wide),Comments,
010,Alamance-Burlington Schools,36.98%, ,X,X,,35,23036,10,5613,,S,,
020,Alexander County Schools,26.31%, , ,X,,11,5074,1,279,,S,,
030,Alleghany County Schools,42.96%,X, , ,,4,1471,,,,,,
040,Anson County Schools,57.03%,X, ,X,,10,3140,10,3140,A,,,
050,Ashe County Schools,35.96%, ,X, ,,6,3014,,,,,,
060,Avery County Schools,27.58%, , , ,,0,0,,,,,,
070,Beaufort County Schools,57.16%,X, ,X,,14,6516,13,6253,,S,,
080,Bertie County Schools,59.13%,X, ,X,,7,2222,7,2222,A,,,
090,Bladen County Schools,76.69%,X, ,X,,13,4342,13,4342,A,,,
100,Brunswick County Schools,58.11%,X, , ,,19,12490,,,,,,
110,Buncombe County Schools,29.90%, , ,X,,43,23444,5,1589,,S,,
111,Asheville City Schools,27.41%, , , ,,0,0,,,,,,
120,Burke County Schools,34.28%, ,X, ,,26,12313,,,,,,
130,Cabarrus County Schools,22.08%, , ,X,,40,33672,7,3784,,S,,
132,Kannapolis City Schools,42.53%,X, ,X,,9,5596,9,5596,A,,,
140,Caldwell County Schools,35.45%, ,X,X,,26,11704,6,1236,,S,,
150,Camden County Schools,14.12%, , , ,,0,0,,,,,,
160,Carteret County Public Schools,54.18%,X, , ,,19,8093,,,,,,
170,Caswell County Schools,48.97%,X, ,X,,6,2487,4,1184,,S,,
180,Catawba County Schools,26.83%, , ,X,,28,15896,1,677,,S,,
181,Hickory City Schools,39.75%, ,X,X,,9,4155,2,676,,S,,
182,Newton Conover City Schools,32.77%, ,X, ,,7,3066,,,,,,
190,Chatham County Schools,26.88%, , , ,,0,0,,,,,,
200,Cherokee County Schools,37.52%, ,X,X,,13,3099,7,1544,,S,,
210,Edenton/Chowan Schools,43.24%,X, , ,,4,1924,,,,,,
220,Clay County Schools,38.03%, ,X, ,,3,1412,,,,,,
230,Cleveland County Schools,48.10%,X, ,X,,29,14677,17,6060,,S,,
240,Columbus County Schools,72.21%,X, ,X,,18,5812,18,5812,A,,,
241,Whiteville City Schools,73.86%,X, ,X,,4,2261,4,2261,A,,,
250,Craven County Schools,47.39%,X, ,X,,25,13591,4,1406,,S,,
260,Cumberland County Schools,54.77%,X, ,X,,86,50509,56,26621,,S,,
270,Currituck County Schools,18.02%, , , ,,0,0,,,,,,
280,Dare County Schools,20.71%, , ,X,,11,5224,1,29,,S,,
290,Davidson County Schools,25.94%, , , ,,0,0,,,,,,
291,Lexington City Schools,59.55%,X, ,X,,7,3083,7,3083,A,,,
292,Thomasville City Schools,62.67%,X, ,X,,4,2320,4,2320,A,,,
298,Residential Schools,43.78%,X, ,X,,3,201,1,61,,S,,
300,Davie County Schools,30.59%, ,X, ,,12,6353,,,,,,
310,Duplin County Schools,68.58%,X, ,X,,13,9913,13,9913,A,,,
320,Durham Public Schools,41.10%,X, ,X,,53,33640,13,5764,,S,,
330,Edgecombe County Schools,49.49%,X, ,X,,14,6035,13,5852,,S,,
340,Forsyth County Schools,38.17%, ,X,X,,78,55252,39,22166,,S,,
350,Franklin County Schools,37.63%, ,X, ,,16,8191,,,,,,
360,Gaston County Schools,38.73%, ,X,X,,54,31820,19,10361,,S,,
370,Gates County Schools,35.57%, ,X, ,,5,1653,,,,,,
380,Graham County Schools,34.23%, ,X, ,,3,1142,,,,,,
390,Granville County Schools,33.85%, ,X, ,,20,7543,,,,,,
400,Greene County Schools,72.74%,X, ,X,,6,3067,6,3067,A,,,
410,Guilford County Schools,42.94%,X, ,X,,125,73159,58,28241,,S,,
420,Halifax County Schools,67.12%,X, ,X,,10,2534,10,2534,A,,,
421,Roanoke Rapids City Schools,64.28%,X, , ,,5,2957,,,,,,
422,Weldon City Schools,48.43%,X, ,X,,4,863,4,863,A,,,
430,Harnett County Schools,37.76%, ,X,X,,29,21810,7,3262,,S,,
440,Haywood County Schools,34.33%, ,X,X,,15,7116,4,1548,,S,,
450,Henderson County Schools,26.91%, , ,X,,23,13342,1,457,,S,,
460,Hertford County Schools,53.15%,X, ,X,,7,2824,7,2824,A,,,
470,Hoke County Schools,56.37%,X, ,X,,14,9500,7,3428,,S,,
480,Hyde County Schools,65.12%,X, ,X,,2,410,2,410,A,,,
490,Iredell-Statesville Schools,21.68%, , , ,,0,0,,,,,,
491,Mooresville Graded School District,18.50%, , , ,,0,0,,,,,,
500,Jackson County Schools,32.35%, ,X,X,,10,3700,4,788,,S,,
510,Johnston County Schools,29.40%, , ,X,,46,36896,4,2350,,S,,
520,Jones County Schools,68.55%,X, ,X,,6,1078,6,1078,A,,,
530,Lee County Schools,53.18%,X, , ,,16,10097,,,,,,
540,Lenoir County Public Schools,71.58%,X, ,X,,17,8657,17,8657,A,,,
550,Lincoln County Schools,27.28%, , ,X,,23,11539,2,735,,S,,
560,Macon County Schools,29.45%, , ,X,,11,4440,2,469,,S,,
570,Madison County Schools,31.91%, ,X,X,,6,2209,1,131,,S,,
580,Martin County Schools,46.63%,X, ,X,,9,3043,8,2813,,S,,
590,McDowell County Schools,41.69%,X, , ,,14,6373,,,,,,
600,Charlotte-Mecklenburg Schools,30.39%, ,X,X,,175,151264,83,59317,,S,,
610,Mitchell County Schools,32.35%, ,X, ,,7,1833,,,,,,
620,Montgomery County Schools,41.05%,X, , ,,12,3939,,,,,,
630,Moore County Schools,32.80%, ,X, ,,23,12773,,,,,,
640,Nash-Rocky Mount Schools,44.56%,X, ,X,,29,15152,17,7664,,S,,
650,New Hanover County Schools,45.90%,X, ,X,,45,26413,21,8184,,S,,
660,Northampton County Schools,63.27%,X, ,X,,7,1631,7,1631,A,,,
670,Onslow County Schools,44.28%,X, , ,,37,26764,,,,,,
680,Orange County Schools,25.17%, , , ,,0,0,,,,,,
681,Chapel Hill-Carrboro Schools,26.08%, , , ,,0,0,,,,,,
690,Pamlico County Schools,55.68%,X, ,X,,4,1336,3,906,,S,,
700,Pasquotank County Schools,44.51%,X, ,X,,13,5520,5,1686,,S,,
710,Pender County Schools,53.44%,X, , ,,18,9517,,,,,,
720,Perquimans County Schools,41.47%,X, , ,,4,1637,,,,,,
730,Person County Schools,43.69%,X, ,X,,12,4527,8,2368,,S,,
740,Pitt County Schools,49.52%,X, ,X,,39,24086,18,7899,,S,,
750,Polk County Schools,36.04%, ,X,X,,7,2236,4,1080,,S,,
760,Randolph County Schools,33.58%, ,X,X,,31,16096,1,390,,S,,
761,Asheboro City Schools,48.40%,X, , ,,8,4485,,,,,,
770,Richmond County Schools,74.51%,X, ,X,,15,7335,15,7335,A,,,
780,Robeson County Schools,43.80%,X, ,X,,40,23701,39,23440,,S,,
790,Rockingham County Schools,40.21%,X, ,X,,23,12082,7,2926,,S,,
800,Rowan-Salisbury Schools,36.74%, ,X,X,,36,18646,12,5364,,S,,
810,Rutherford County Schools,45.31%,X, ,X,,19,8068,19,8068,A,,,
820,Sampson County Schools,63.46%,X, ,X,,18,8111,18,8111,A,,,
821,Clinton City Schools,66.68%,X, ,X,,5,3032,5,3032,A,,,
830,Scotland County Schools,75.61%,X, ,X,,11,5720,11,5720,A,,,
840,Stanly County Schools,33.96%, ,X,X,,21,8305,4,1304,,S,,
850,Stokes County Schools,29.61%, , , ,,0,0,,,,,,
860,Surry County Schools,35.85%, ,X,X,,19,7718,1,235,,S,,
861,Elkin City Schools,21.01%, , , ,,0,0,,,,,,
862,Mount Airy City Schools,40.11%,X, , ,,4,1670,,,,,,
870,Swain County Schools,34.37%, ,X,X,,4,1943,1,443,,S,,
880,Transylvania County Schools,36.22%, ,X, ,,9,3390,,,,,,
890,Tyrrell County Schools,38.94%, ,X,X,,3,665,3,665,A,,,
900,Union County Public Schools,17.74%, , ,X,,53,41884,8,4155,,S,,
910,Vance County Schools,64.85%,X, ,X,,15,5819,15,5819,A,,,
920,Wake County Schools,17.63%, , , ,,0,0,,,,,,
930,Warren County Schools,55.11%,X, ,X,,8,1985,8,1985,A,,,
940,Washington County Schools,64.08%,X, ,X,,5,1356,6,1356,,S,,
950,Watauga County Schools,18.43%, , , ,,0,0,,,,,,
960,Wayne County Public Schools,62.18%,X, ,X,,33,18266,26,14051,,S,,
970,Wilkes County Schools,36.05%, ,X,X,,22,9327,17,6593,,S,,
980,Wilson County Schools,42.49%,X, ,X,,26,11186,16,5574,,S,,
990,Yadkin County Schools,33.34%, ,X, ,,14,5287,,,,,,
995,Yancey County Schools,33.48%, ,X, ,,8,2135,,,,,,
1002,Camp Lejeune Schools,10.87%, , , ,,0,0,,,,,,
1007,Fort Bragg,10.24%, , , ,,0,0,,,,,,
1009,Cherokee Central School,10.73%, , , ,,0,0,,,,,,
1026,NC Tarheel Challenge Academy,27.27%, , , ,,0,0,,,,,,
1095,Trinity Christian School,73.21%,X, ,X,,1,336,1,336,A,,,
06B,Marjorie Williams Academy,81.88%,X, ,X,,1,127,1,127,A,,,
13B,Cabarrus Charter Academy,17.02%, , , ,,0,0,,,,,,
13C,A.C.E. Academy,28.45%, , , ,,0,0,,,,,,
13D,Concord Lake STEAM Academy,10.76%, , , ,,0,0,,,,,,
20A,The Learning Center,43.09%,X, ,X,,1,181,1,181,A,,,
24N,Columbus Charter School,65.34%,X, , ,,1,681,,,,,,
26C,Capitol Encore Academy,52.23%,X, , ,,1,469,,,,,,
32A,Maureen Joy Charter,58.37%,X, , ,,1,627,,,,,,
32B,Healthy Start Academy,70.07%,X, ,X,,1,391,1,391,A,,,
32C,Carter Community Charter,69.67%,X, ,X,,1,244,1,244,A,,,
32H,Research Triangle Charter,41.62%,X, , ,,1,716,,,,,,
32K,Central Park School for Children,20.67%, , , ,,0,0,,,,,,
32M,Global Scholars Academy,63.05%,X, , ,,1,203,,,,,,
32S,KIPP Durham College Preparatory,70.44%,X, ,X,,1,335,1,335,A,,,
33A,North East Carolina Preparatory School,29.23%, , , ,,0,0,,,,,,
34B,Quality Education Academy,66.29%,X, ,X,,1,543,1,543,A,,,
34D,C G Woodson Sch of Challenge,67.19%,X, ,X,,1,381,1,381,A,,,
34F,Forsyth Academy,48.64%,X, , ,,1,662,,,,,,
36C,Mountain Island Charter School,7.39%, , , ,,0,0,,,,,,
41C,Guilford Preparatory,95.72%,X, ,X,,1,281,1,281,A,,,
41F,Triad Math & Science Academy,42.35%,X, , ,,1,1223,,,,,,
41H,The College Preparatory and Leadership Academy of High Point,62.43%,X, ,X,,1,591,1,591,A,,,
41J,Summerfield Charter Academy,7.86%, , , ,,0,0,,,,,,
41L,Gate City Charter Academy,35.65%, ,X, ,,1,645,,,,,,
42A,KIPP - Halifax College Preparatory,61.57%,X, ,X,,1,419,1,419,A,,,
49D,Success Institute Charter,60.00%,X, ,X,,1,100,1,100,A,,,
49F,Langtree Charter Academy,5.21%, , , ,,0,0,,,,,,
49G,Iredell Charter Academy,11.24%, , , ,,0,0,,,,,,
51B,Johnston Charter Academy,12.15%, , , ,,0,0,,,,,,
54A,Children's Village Academy,91.95%,X, ,X,,1,174,1,174,A,,,
60B,Sugar Creek Charter,53.43%,X, , ,,2,1484,,,,,,
60G,Queen's Grant Community,14.70%, , , ,,0,0,,,,,,
60L,KIPP Charlotte,59.56%,X, ,X,,2,685,2,685,A,,,
60N,Aristotle Preparatory Academy,72.47%,X, ,X,,1,109,1,109,A,,,
60P,Charlotte Choice Charter,59.09%,X, , ,,1,88,,,,,,
60V,Charlotte Learning Academy,51.76%,X, ,X,,1,226,1,226,A,,,
61Q,Mallard Creek STEM Academy,10.73%, , , ,,0,0,,,,,,
61R,Matthew's Charter Academy,13.11%, , , ,,0,0,,,,,,
61T,Movement Charter School,57.29%,X, , ,,1,377,,,,,,
61U,UpROAR Leadership Academy,24.73%, , , ,,0,0,,,,,,
64A,Rocky Mount Preparatory,41.18%,X, , ,,1,1129,,,,,,
65C,Douglass Academy,85.58%,X, ,X,,1,111,1,111,A,,,
65G,Girls Leadership Academy of Wilmington,70.66%,X, , ,,1,225,,,,,,
66A,Gaston College Preparatory,42.71%,X, ,X,,3,1208,2,854,,S,,
67B,Z.E.C.A. School of Art and Technology,78.08%,X, ,X,,1,146,1,146,A,,,
69A,Arapahoe Charter School,47.83%,X, , ,,1,531,,,,,,
73A,Bethel Hill Charter,27.70%, , , ,,0,0,,,,,,
74C,Winterville Charter Academy,39.65%, ,X, ,,1,580,,,,,,
78A,CIS Academy,76.66%,X, , ,,1,120,,,,,,
90C,Union Preparatory Academy,6.56%, , , ,,0,0,,,,,,
91B,Henderson Collegiate,37.12%, ,X,X,,1,1161,1,1161,A,,,
92-L,Torchlight Academy,51.85%,X, ,X,,2,565,2,565,A,,,
92M,PreEminent Charter,50.80%,X, , ,,1,620,,,,,,
92Q,Hope Charter Leadership Academy,50.00%,X, ,X,,1,104,1,104,A,,,
92V,Wake Forest Charter Academy,3.21%, , , ,,0,0,,,,,,
92W,Cardinal Charter Academy,6.54%, , , ,,0,0,,,,,,
93A,Haliwa-Saponi Tribal School,68.51%,X, ,X,,1,162,1,162,A,,,
93J,PAVE Southeast Raleigh Charter School,47.77%,X, ,X,,1,360,1,360,A,,,
93M,Peak Charter Academy,2.91%, , , ,,0,0,,,,,,
93P,Rolesville Charter Academy,9.20%, , , ,,0,0,,,,,,
96C,Dillard Academy,89.23%,X, ,X,,1,288,1,288,A,,,
97D,Bridges Academy,48.14%,X, ,X,,1,135,1,135,A,,,
98A,Sallie B Howard School,61.20%,X, ,X,,1,982,1,982,A,,,