lea_id,lea_name,identified_student_percentage_isp,eligible_to_participate,near_eligible_to_participate,currently_participating_in_cep,participating_and_eligible_for_a_grace_year,total_number_of_schools_in_participating_eligible_and_near_eligible_le_as,total_student_enrollment_in_participating_and_eligible_le_as,total_number_of_cep_schools_in_the_lea,total_student_enrollment_at_cep_schools,currently_participating_in_cep_district_wide,currently_participating_in_cep_in_one_or_some_schools_not_district_wide,year,participation_type
380,Graham County Schools,5.85,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
390,Granville County Schools,27.73,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
400,Greene County Schools,50.37,X,NA,X,NA,6,3004,6,3004,A,NA,2020,District Wide
410,Guilford County Schools,39.1,NA,X,X,NA,124,72947,66,32452,NA,S,2020,Some Schools
420,Halifax County Schools,56.42,X,NA,X,NA,10,2329,10,2329,A,NA,2020,District Wide
421,Roanoke Rapids City Schools,60.25,X,NA,NA,NA,5,2853,NA,NA,NA,NA,2020,Not Participating
422,Weldon City Schools,76.44,X,NA,X,NA,4,798,4,798,A,NA,2020,District Wide
430,Harnett County Schools,33.68,NA,X,X,NA,29,20290,7,3056,NA,S,2020,Some Schools
440,Haywood County Schools,33.12,NA,X,X,NA,15,7087,4,1523,NA,S,2020,Some Schools
450,Henderson County Schools,21.49,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
460,Hertford County Schools,99.6,X,NA,X,NA,7,2761,7,2761,A,NA,2020,District Wide
470,Hoke County Schools,37.43,NA,X,X,NA,14,9418,14,9418,A,NA,2020,District Wide
480,Hyde County Schools,51.52,X,NA,X,NA,2,396,2,396,A,NA,2020,District Wide
490,Iredell-Statesville Schools,18.61,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
491,Mooresville Graded School District,16.9,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
500,Jackson County Schools,31.93,NA,X,X,NA,10,3683,1,87,NA,S,2020,Some Schools
510,Johnston County Schools,22.61,NA,NA,X,NA,45,37534,5,2890,NA,S,2020,Some Schools
520,Jones County Schools,63.86,X,NA,X,NA,5,1079,5,1079,A,NA,2020,District Wide
530,Lee County Schools,35.06,NA,X,NA,NA,17,10153,NA,NA,NA,NA,2020,Not Participating
540,Lenoir County Public Schools,51.21,X,NA,X,NA,17,8631,17,8631,A,NA,2020,District Wide
550,Lincoln County Schools,26.94,NA,NA,X,NA,22,11574,1,396,NA,S,2020,Some Schools
560,Macon County Schools,28.84,NA,NA,X,NA,11,4507,2,482,NA,S,2020,Some Schools
570,Madison County Schools,32.47,NA,X,X,NA,6,2208,1,134,NA,S,2020,Some Schools
580,Martin County Schools,48.69,X,NA,X,NA,9,3101,8,2850,NA,S,2020,Some Schools
590,McDowell County Schools,40.93,X,NA,NA,NA,14,6540,NA,NA,NA,NA,2020,Not Participating
600,Charlotte-Mecklenburg Schools,28.93,NA,NA,X,NA,175,150098,68,49148,NA,S,2020,Some Schools
610,Mitchell County Schools,32.15,NA,X,NA,NA,7,1826,NA,NA,NA,NA,2020,Not Participating
620,Montgomery County Schools,36.6,NA,X,NA,NA,12,3839,NA,NA,NA,NA,2020,Not Participating
630,Moore County Schools,26.7,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
640,Nash-Rocky Mount Schools,45.51,X,NA,X,NA,29,15246,17,7609,NA,S,2020,Some Schools
650,New Hanover County Schools,31.84,NA,X,X,NA,45,26452,28,12015,NA,S,2020,Some Schools
660,Northampton County Schools,52.24,X,NA,X,NA,7,1518,7,1518,A,NA,2020,District Wide
670,Onslow County Schools,27.28,NA,NA,X,NA,37,26870,1,138,NA,S,2020,Some Schools
680,Orange County Schools,36.85,NA,X,NA,NA,13,7511,NA,NA,NA,NA,2020,Not Participating
681,Chapel Hill-Carrboro Schools,27.49,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
690,Pamlico County Schools,34.27,NA,X,X,NA,4,1310,3,799,NA,S,2020,Some Schools
700,Pasquotank County Schools,49.84,X,NA,X,NA,13,5299,5,1594,NA,S,2020,Some Schools
710,Pender County Schools,27.61,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
720,Perquimans County Schools,39.76,NA,X,NA,NA,4,1665,NA,NA,NA,NA,2020,Not Participating
730,Person County Schools,44.34,X,NA,X,NA,12,4495,8,2355,NA,S,2020,Some Schools
740,Pitt County Schools,41.2,X,NA,X,NA,39,24183,22,10236,NA,S,2020,Some Schools
750,Polk County Schools,34.48,NA,X,X,NA,7,2216,3,902,NA,S,2020,Some Schools
760,Randolph County Schools,32.83,NA,X,X,NA,31,15920,1,404,NA,S,2020,Some Schools
761,Asheboro City Schools,47.38,X,NA,NA,NA,8,4715,NA,NA,NA,NA,2020,Not Participating
770,Richmond County Schools,52.52,X,NA,X,NA,15,7192,15,7192,A,NA,2020,District Wide
780,Robeson County Schools,54.67,X,NA,X,NA,36,22932,40,22696,NA,S,2020,Some Schools
790,Rockingham County Schools,41.82,X,NA,X,NA,23,11925,8,3673,NA,S,2020,Some Schools
800,Rowan-Salisbury Schools,35.89,NA,X,X,NA,34,18666,10,4228,NA,S,2020,Some Schools
810,Rutherford County Schools,42.37,X,NA,X,NA,19,7881,19,7881,A,NA,2020,District Wide
820,Sampson County Schools,46.81,X,NA,X,NA,18,8073,18,8073,A,NA,2020,District Wide
821,Clinton City Schools,36.8,NA,X,X,NA,5,3076,5,3076,A,NA,2020,District Wide
830,Scotland County Schools,60.1,X,NA,X,NA,10,5737,10,5737,A,NA,2020,District Wide
840,Stanly County Schools,31.66,NA,X,X,NA,22,8302,4,1273,NA,S,2020,Some Schools
850,Stokes County Schools,29.76,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
860,Surry County Schools,35.39,NA,X,X,NA,19,7521,1,213,NA,S,2020,Some Schools
861,Elkin City Schools,19.87,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
862,Mount Airy City Schools,39.17,NA,X,NA,NA,4,1680,NA,NA,NA,NA,2020,Not Participating
870,Swain County Schools,32.64,NA,X,X,NA,4,1869,1,428,NA,S,2020,Some Schools
880,Transylvania County Schools,36.22,NA,X,NA,NA,9,3390,NA,NA,NA,NA,2020,Not Participating
890,Tyrrell County Schools,43.54,X,NA,X,NA,3,611,3,611,A,NA,2020,District Wide
900,Union County Public Schools,16.48,NA,NA,X,NA,53,42294,8,4102,NA,S,2020,Some Schools
910,Vance County Schools,63.72,X,NA,X,NA,15,5614,15,5614,A,NA,2020,District Wide
920,Wake County Schools,17.67,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
930,Warren County Schools,56.84,X,NA,X,NA,7,1870,8,1870,NA,S,2020,Some Schools
940,Washington County Schools,69.68,X,NA,X,NA,5,1349,5,1349,A,NA,2020,District Wide
950,Watauga County Schools,17.66,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
960,Wayne County Public Schools,42.11,X,NA,X,NA,33,18066,32,17836,NA,S,2020,Some Schools
970,Wilkes County Schools,36.97,NA,X,X,NA,22,9197,17,6522,NA,S,2020,Some Schools
980,Wilson County Schools,49.67,X,NA,X,NA,26,10982,16,5498,NA,S,2020,Some Schools
990,Yadkin County Schools,28.32,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
995,Yancey County Schools,32.15,NA,X,NA,NA,7,2078,NA,NA,NA,NA,2020,Not Participating
1002,Camp Lejeune Schools,12.42,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
1007,Fort Bragg,2.21,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
1009,Cherokee Central School,0.31,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
1026,NC Tarheel Challenge Academy,21.49,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
1027,Tarheel Challenge Academy New London,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
1095,Trinity Christian School,47.02,X,NA,X,NA,1,336,1,336,A,NA,2020,District Wide
1154,NC Department of Public Safety - Div of Juvenile Justice,71.23,X,NA,NA,NA,11,358,NA,NA,NA,NA,2020,Not Participating
06B,Marjorie Williams Academy,81.89,X,NA,X,NA,1,127,1,127,A,NA,2020,District Wide
13B,Cabarrus Charter Academy,18.67,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
13C,A.C.E. Academy,28.46,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
13D,Concord Lake STEAM Academy,32.46,NA,X,NA,NA,1,382,NA,NA,NA,NA,2020,Not Participating
20A,The Learning Center,37.99,NA,X,X,NA,1,179,1,179,A,NA,2020,District Wide
24N,Columbus Charter School,44.93,X,NA,X,NA,1,739,1,739,A,NA,2020,District Wide
26C,Capitol Encore Academy,42.81,X,NA,NA,NA,1,556,NA,NA,NA,NA,2020,Not Participating
32A,Maureen Joy Charter,53.75,X,NA,NA,NA,1,614,NA,NA,NA,NA,2020,Not Participating
32B,Healthy Start Academy,57.43,X,NA,X,NA,1,444,1,444,A,NA,2020,District Wide
32C,Carter Community Charter,55.31,X,NA,X,NA,1,226,1,226,A,NA,2020,District Wide
32H,Research Triangle Charter,28.39,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
32K,Central Park School for Children,13.88,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
32M,Global Scholars Academy,48.08,X,NA,X,NA,1,208,1,208,A,NA,2020,District Wide
32S,KIPP Durham College Preparatory,50.84,X,NA,X,NA,1,356,1,356,A,NA,2020,District Wide
33A,North East Carolina Preparatory School,36.82,NA,X,NA,NA,1,986,NA,NA,NA,NA,2020,Not Participating
34B,Quality Education Academy,93.19,X,NA,X,NA,1,558,1,558,A,NA,2020,District Wide
34D,Carter G. Woodson School,69.64,X,NA,X,NA,1,359,1,359,A,NA,2020,District Wide
34F,Forsyth Academy,40.06,X,NA,NA,NA,1,714,NA,NA,NA,NA,2020,Not Participating
36C,Mountain Island Charter School,7.01,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
41C,Guilford Preparatory,50.74,X,NA,X,NA,1,339,1,339,A,NA,2020,District Wide
41F,Triad Math & Science Academy,37.47,NA,X,X,NA,1,1201,1,1201,A,NA,2020,District Wide
41J,Summerfield Charter Academy,5.81,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
41L,Gate City Charter Academy,25.39,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
42A,KIPP - Halifax College Preparatory,61.12,X,NA,X,NA,1,499,1,499,A,NA,2020,District Wide
49D,Success Institute Charter,60,X,NA,X,NA,1,100,1,100,A,NA,2020,District Wide
49F,Langtree Charter Academy,5.31,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
49G,Iredell Charter Academy,18.38,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
51B,Johnston Charter Academy,7.24,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
54A,Children's Village Academy,72.32,X,NA,X,NA,1,177,1,177,A,NA,2020,District Wide
60B,Sugar Creek Charter,46.05,X,NA,NA,NA,2,1683,NA,NA,NA,NA,2020,Not Participating
60G,Queen's Grant Community,12.85,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
60L,KIPP Charlotte,72.75,X,NA,X,NA,2,822,2,822,A,NA,2020,District Wide
60N,Aristotle Preparatory Academy,72.59,X,NA,X,NA,1,135,1,135,A,NA,2020,District Wide
60P,Eastside STREAM Academy,36.7,NA,X,NA,NA,1,109,NA,NA,NA,NA,2020,Not Participating
61Q,Mallard Creek STEM Academy,35.59,NA,X,NA,NA,1,888,NA,NA,NA,NA,2020,Not Participating
61R,Matthew's Charter Academy,7.4,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
61T,Movement Charter School,53.39,X,NA,X,NA,1,472,1,472,A,NA,2020,District Wide
61U,UpROAR Leadership Academy,35.16,NA,X,NA,NA,1,91,NA,NA,NA,NA,2020,Not Participating
61Y,Steele Creek Preparatory Academy,27.91,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
64A,Rocky Mount Preparatory,28.97,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
65C,Douglass Academy,63.72,X,NA,X,NA,1,113,1,113,A,NA,2020,District Wide
65G,Girls Leadership Academy of Wilmington,41.78,X,NA,X,NA,1,292,1,292,A,NA,2020,District Wide
66A,Gaston College Preparatory,36.72,NA,X,NA,NA,3,1280,NA,NA,NA,NA,2020,Not Participating
67B,Z.E.C.A. School of Art and Technology,77.63,X,NA,X,NA,1,152,1,152,A,NA,2020,District Wide
69A,Arapahoe Charter School,50.29,X,NA,X,NA,1,521,1,521,A,NA,2020,District Wide
73A,Bethel Hill Charter,26.2,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
74C,Winterville Charter Academy,28.87,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
78A,CIS Academy,24.37,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
90C,Union Preparatory Academy,14.49,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
91B,Henderson Collegiate,51.02,X,NA,X,NA,1,1274,1,1274,A,NA,2020,District Wide
92-L,Torchlight Academy,50.34,X,NA,X,NA,2,580,2,580,A,NA,2020,District Wide
92M,PreEminent Charter,41.17,X,NA,NA,NA,1,668,NA,NA,NA,NA,2020,Not Participating
92V,Wake Forest Charter Academy,2.78,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
92W,Cardinal Charter Academy,8.93,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
93A,Haliwa-Saponi Tribal School,69.18,X,NA,X,NA,1,159,1,159,A,NA,2020,District Wide
93J,PAVE Southeast Raleigh Charter School,62.43,X,NA,X,NA,1,370,1,370,A,NA,2020,District Wide
93M,Peak Charter Academy,1.89,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
93P,Rolesville Charter Academy,4.16,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2020,Not Participating
96C,Dillard Academy,79.27,X,NA,X,NA,1,275,1,275,A,NA,2020,District Wide
97D,Bridges Academy,38.02,NA,X,X,NA,1,121,1,121,A,NA,2020,District Wide
98A,Sallie B Howard School,63.77,X,NA,X,NA,1,988,1,988,A,NA,2020,District Wide
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Not Participating
010,Alamance-Burlington Schools,33.35,NA,X,X,NA,35,22191,11,5469,NA,S,2021,Some Schools
020,Alexander County Schools,35.96,NA,X,NA,NA,11,4644,NA,NA,NA,NA,2021,Not Participating
030,Alleghany County Schools,39.45,NA,X,NA,NA,4,1658,NA,NA,NA,NA,2021,Not Participating
040,Anson County Schools,57.66,X,NA,X,NA,10,2995,10,2995,A,NA,2021,District Wide
050,Ashe County Schools,35.04,NA,X,NA,NA,6,2797,NA,NA,NA,NA,2021,Not Participating
060,Avery County Schools,28.35,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2021,Not Participating
070,Beaufort County Schools,46.9,X,NA,X,NA,14,6011,13,5755,NA,S,2021,Some Schools
080,Bertie County Schools,59.19,X,NA,X,NA,7,1975,7,1975,A,NA,2021,District Wide
090,Bladen County Schools,50.15,X,NA,X,NA,13,4086,13,4086,A,NA,2021,District Wide
100,Brunswick County Schools,32.71,NA,X,X,NA,20,12197,20,12197,A,NA,2021,District Wide
110,Buncombe County Schools,28.22,NA,NA,X,NA,43,21961,5,1521,NA,S,2021,Some Schools
111,Asheville City Schools,27.79,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2021,Not Participating
120,Burke County Schools,53.11,X,NA,NA,NA,26,11669,NA,NA,NA,NA,2021,Not Participating
130,Cabarrus County Schools,23.47,NA,NA,X,NA,42,32882,5,2403,NA,S,2021,Some Schools
132,Kannapolis City Schools,53.41,X,NA,X,NA,9,5570,8,3962,NA,S,2021,Some Schools
140,Caldwell County Schools,36.15,NA,X,X,NA,25,10787,4,396,NA,S,2021,Some Schools
150,Camden County Schools,13.19,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2021,Not Participating
160,Carteret County Public Schools,22.43,NA,NA,X,NA,19,8185,15,5682,NA,S,2021,Some Schools
170,Caswell County Schools,48.52,X,NA,X,NA,6,2257,4,1041,NA,S,2021,Some Schools
180,Catawba County Schools,26.48,NA,NA,X,NA,28,15391,1,692,NA,S,2021,Some Schools
181,Hickory City Schools,40.24,X,NA,X,NA,9,3994,2,712,NA,S,2021,Some Schools
182,Newton Conover City Schools,33.01,NA,X,NA,NA,7,2890,NA,NA,NA,NA,2021,Not Participating
190,Chatham County Schools,24.31,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2021,Not Participating
200,Cherokee County Schools,30.69,NA,X,X,NA,13,3076,7,1554,NA,S,2021,Some Schools
210,Edenton/Chowan Schools,45.99,X,NA,NA,NA,4,1944,NA,NA,NA,NA,2021,Not Participating
220,Clay County Schools,31.36,NA,X,NA,NA,4,1253,NA,NA,NA,NA,2021,Not Participating
230,Cleveland County Schools,52,X,NA,X,NA,29,14130,15,4891,NA,S,2021,Some Schools
240,Columbus County Schools,46.25,X,NA,X,NA,17,5665,17,5665,A,NA,2021,District Wide
241,Whiteville City Schools,51.26,X,NA,X,NA,4,2101,4,2101,A,NA,2021,District Wide
250,Craven County Schools,33.23,NA,X,X,NA,25,12817,11,5439,NA,S,2021,Some Schools
260,Cumberland County Schools,41.46,X,NA,X,NA,87,46924,65,28534,NA,S,2021,Some Schools
270,Currituck County Schools,16.34,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2021,Not Participating
280,Dare County Schools,18.79,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2021,Not Participating
290,Davidson County Schools,30.26,NA,X,NA,NA,36,17850,NA,NA,NA,NA,2021,Not Participating
291,Lexington City Schools,58.56,X,NA,X,NA,7,3074,7,3074,A,NA,2021,District Wide
292,Thomasville City Schools,67.65,X,NA,X,NA,4,2226,4,2226,A,NA,2021,District Wide
298,Residential Schools,39.35,NA,X,X,NA,3,155,3,155,A,NA,2021,District Wide
300,Davie County Schools,33.4,NA,X,NA,NA,12,6081,NA,NA,NA,NA,2021,Not Participating
310,Duplin County Schools,39.29,NA,X,X,NA,13,9643,13,9643,A,NA,2021,District Wide
320,Durham Public Schools,35.94,NA,X,X,X,52,32169,19,9797,NA,S,2021,Some Schools
330,Edgecombe County Schools,49.78,X,NA,X,NA,14,5679,13,5413,NA,S,2021,Some Schools
340,Forsyth County Schools,38.61,NA,X,X,X,78,53403,39,21538,NA,S,2021,Some Schools
350,Franklin County Schools,37.07,NA,X,NA,NA,16,7930,NA,NA,NA,NA,2021,Not Participating
360,Gaston County Schools,37.35,NA,X,X,NA,54,29576,19,9296,NA,S,2021,Some Schools
370,Gates County Schools,35.04,NA,X,NA,NA,5,1484,NA,NA,NA,NA,2021,Not Participating
380,Graham County Schools,31.76,NA,X,NA,NA,3,1228,NA,NA,NA,NA,2021,Not Participating
390,Granville County Schools,48.35,X,NA,NA,NA,18,6959,NA,NA,NA,NA,2021,Not Participating
400,Greene County Schools,58.29,X,NA,X,NA,6,2896,6,2896,A,NA,2021,District Wide
410,Guilford County Schools,38.88,NA,X,X,NA,124,65940,66,28987,NA,S,2021,Some Schools
420,Halifax County Schools,74.74,X,NA,X,NA,11,2288,10,2199,NA,S,2021,Some Schools
421,Roanoke Rapids City Schools,58.07,X,NA,NA,NA,5,2905,NA,NA,NA,NA,2021,Not Participating
422,Weldon City Schools,78.85,X,NA,X,NA,4,747,4,747,A,NA,2021,District Wide
430,Harnett County Schools,40.79,X,NA,X,NA,28,20787,6,3051,NA,S,2021,Some Schools
440,Haywood County Schools,32.71,NA,X,X,NA,15,6852,5,1843,NA,S,2021,Some Schools
450,Henderson County Schools,27.17,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2021,Not Participating
460,Hertford County Schools,98.01,X,NA,X,NA,7,2662,7,2662,A,NA,2021,District Wide
470,Hoke County Schools,34.78,NA,X,X,NA,14,9148,14,9148,A,NA,2021,District Wide
480,Hyde County Schools,52.53,X,NA,X,NA,2,356,2,356,A,NA,2021,District Wide
490,Iredell-Statesville Schools,20.94,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2021,Not Participating
491,Mooresville Graded School District,18.93,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2021,Not Participating
500,Jackson County Schools,31.93,NA,X,X,NA,10,3683,1,87,NA,S,2021,Some Schools
510,Johnston County Schools,25.49,NA,NA,X,NA,46,36659,5,2794,NA,S,2021,Some Schools
520,Jones County Schools,48.84,X,NA,X,NA,5,1032,5,1032,A,NA,2021,District Wide
530,Lee County Schools,38.74,NA,X,NA,NA,17,9735,NA,NA,NA,NA,2021,Not Participating
540,Lenoir County Public Schools,50.39,X,NA,X,NA,17,8385,17,8385,A,NA,2021,District Wide
550,Lincoln County Schools,25.82,NA,NA,X,NA,22,11156,1,395,NA,S,2021,Some Schools
560,Macon County Schools,27.16,NA,NA,X,NA,11,4323,2,455,NA,S,2021,Some Schools
570,Madison County Schools,32.03,NA,X,X,NA,6,2067,1,132,NA,S,2021,Some Schools
580,Martin County Schools,53.72,X,NA,X,NA,9,2954,8,2703,NA,S,2021,Some Schools
590,McDowell County Schools,42.09,X,NA,NA,NA,14,6082,NA,NA,NA,NA,2021,Not Participating
600,Charlotte-Mecklenburg Schools,29.9,NA,NA,X,NA,177,143803,68,47228,NA,S,2021,Some Schools
610,Mitchell County Schools,34.17,NA,X,NA,NA,7,1750,NA,NA,NA,NA,2021,Not Participating
620,Montgomery County Schools,39.02,NA,X,NA,NA,13,3683,NA,NA,NA,NA,2021,Not Participating
630,Moore County Schools,27.21,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2021,Not Participating
640,Nash-Rocky Mount Schools,45.51,X,NA,X,NA,29,15246,17,7609,NA,S,2021,Some Schools
650,New Hanover County Schools,29.49,NA,NA,X,NA,46,25318,28,11338,NA,S,2021,Some Schools
660,Northampton County Schools,64.81,X,NA,X,NA,7,1418,7,1418,A,NA,2021,District Wide
670,Onslow County Schools,26.91,NA,NA,X,NA,37,19796,1,115,NA,S,2021,Some Schools
680,Orange County Schools,21.58,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2021,Not Participating
681,Chapel Hill-Carrboro Schools,23.39,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2021,Not Participating
690,Pamlico County Schools,38.68,NA,X,X,NA,4,1179,3,782,NA,S,2021,Some Schools
700,Pasquotank County Schools,48.98,X,NA,X,NA,13,4937,12,4808,NA,S,2021,Some Schools
710,Pender County Schools,29.68,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2021,Not Participating
720,Perquimans County Schools,37.24,NA,X,NA,NA,4,1622,NA,NA,NA,NA,2021,Not Participating
730,Person County Schools,46.63,X,NA,X,NA,12,4497,8,2295,NA,S,2021,Some Schools
740,Pitt County Schools,41.2,X,NA,X,NA,39,23743,25,11392,NA,S,2021,Some Schools
750,Polk County Schools,35.26,NA,X,X,X,7,2167,3,887,NA,S,2021,Some Schools
760,Randolph County Schools,34.17,NA,X,X,X,31,15340,1,369,NA,S,2021,Some Schools
761,Asheboro City Schools,68.74,X,NA,NA,NA,8,4463,NA,NA,NA,NA,2021,Not Participating
770,Richmond County Schools,52.52,X,NA,X,NA,15,7192,15,7192,A,NA,2021,District Wide
780,Robeson County Schools,57.95,X,NA,X,NA,36,24002,35,23726,NA,S,2021,Some Schools
790,Rockingham County Schools,41.64,X,NA,X,NA,23,11710,9,4416,NA,S,2021,Some Schools
800,Rowan-Salisbury Schools,36.17,NA,X,X,NA,35,18289,10,3152,NA,S,2021,Some Schools
810,Rutherford County Schools,46.25,X,NA,X,NA,19,7712,19,7712,A,NA,2021,District Wide
820,Sampson County Schools,49.06,X,NA,X,NA,18,7852,18,7852,A,NA,2021,District Wide
821,Clinton City Schools,54.49,X,NA,X,NA,5,2949,5,2949,A,NA,2021,District Wide
